target,model,positives,support,threshold,precision,recall,f1,balanced_accuracy,pr_auc,roc_auc,tn,fp,fn,tp
HDF,hist_gradient_weighted@tuned_f2,23,2000,0.9768309564826326,1.0,1.0,1.0,1.0,1.0,1.0,1977,0,0,23
HDF,hist_gradient_weighted@0.50,23,2000,0.5,0.8518518518518519,1.0,0.92,0.9989883662114314,1.0,1.0,1973,4,0,23
HDF,decision_tree_balanced@0.50,23,2000,0.5,0.8518518518518519,1.0,0.92,0.9989883662114314,0.9821428571428571,0.9998680477667085,1973,4,0,23
HDF,decision_tree_balanced@tuned_f2,23,2000,0.9970999873912494,0.9523809523809523,0.8695652173913043,0.9090909090909091,0.93452970024851,0.9821428571428571,0.9998680477667085,1976,1,3,20
HDF,random_forest_balanced@tuned_f2,23,2000,0.3203052632810477,0.6111111111111112,0.9565217391304348,0.7457627118644068,0.9747201513052275,0.908420346682508,0.9984385652393833,1963,14,1,22
HDF,random_forest_balanced@0.50,23,2000,0.5,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.9112731191308746,0.908420346682508,0.9984385652393833,1970,7,4,19
HDF,random_forest_smote@tuned_f2,23,2000,0.2633047494172484,0.5365853658536586,0.9565217391304348,0.6875,0.9734556090695168,0.8666581093186287,0.9982186448505641,1958,19,1,22
HDF,random_forest_smote@0.50,23,2000,0.5,0.625,0.8695652173913043,0.7272727272727273,0.9317477073299465,0.8666581093186287,0.9982186448505641,1965,12,3,20
HDF,logistic_smote@0.50,23,2000,0.5,0.359375,1.0,0.5287356321839081,0.9896307536671725,0.8024958422318136,0.9966132260121836,1936,41,0,23
HDF,logistic_smote@tuned_f2,23,2000,0.8082793571536085,0.43478260869565216,0.8695652173913043,0.5797101449275363,0.9282069890699567,0.8024958422318136,0.9966132260121836,1951,26,3,20
HDF,logistic_balanced@0.50,23,2000,0.5,0.2875,1.0,0.44660194174757284,0.9855842185128983,0.7884103446307185,0.9964372897011281,1920,57,0,23
HDF,logistic_balanced@tuned_f2,23,2000,0.8460335985515323,0.4222222222222222,0.8260869565217391,0.5588235294117647,0.9064678586351741,0.7884103446307185,0.9964372897011281,1951,26,4,19
HDF,dummy_most_frequent@tuned_f2,23,2000,0.0,0.0115,1.0,0.022738507167572912,0.5,0.0115,0.5,0,1977,0,23
HDF,dummy_most_frequent@0.50,23,2000,0.5,0.0,0.0,0.0,0.5,0.0115,0.5,1977,0,23,0
Machine failure,hist_gradient_weighted@tuned_f2,68,2000,0.35385565630704446,0.5420560747663551,0.8529411764705882,0.6628571428571428,0.9137894288150042,0.8148764225150052,0.9847232371209353,1883,49,10,58
Machine failure,hist_gradient_weighted@0.50,68,2000,0.5,0.6162790697674418,0.7794117647058824,0.6883116883116883,0.8811655096821338,0.8148764225150052,0.9847232371209353,1899,33,15,53
Machine failure,random_forest_balanced@tuned_f2,68,2000,0.26822949262325585,0.4796747967479675,0.8676470588235294,0.6178010471204188,0.9172603824138351,0.6993683331402805,0.9688261174034831,1868,64,9,59
Machine failure,random_forest_balanced@0.50,68,2000,0.5,0.7192982456140351,0.6029411764705882,0.656,0.7973298014858117,0.6993683331402805,0.9688261174034831,1916,16,27,41
Machine failure,random_forest_smote@tuned_f2,68,2000,0.314426884421527,0.40441176470588236,0.8088235294117647,0.5392156862745098,0.8834490317866277,0.6965879647284995,0.9699412373645111,1851,81,13,55
Machine failure,random_forest_smote@0.50,68,2000,0.5,0.5425531914893617,0.75,0.6296296296296297,0.8638716356107661,0.6965879647284995,0.9699412373645111,1889,43,17,51
Machine failure,decision_tree_balanced@0.50,68,2000,0.5,0.37579617834394907,0.8676470588235294,0.5244444444444445,0.908461210571185,0.658193454924425,0.9203735842162952,1834,98,9,59
Machine failure,decision_tree_balanced@tuned_f2,68,2000,0.613374246111523,0.37579617834394907,0.8676470588235294,0.5244444444444445,0.908461210571185,0.658193454924425,0.9203735842162952,1834,98,9,59
Machine failure,logistic_balanced@0.50,68,2000,0.5,0.14560439560439561,0.7794117647058824,0.24537037037037038,0.809219339909877,0.4086765639484345,0.9045944464742419,1621,311,15,53
Machine failure,logistic_balanced@tuned_f2,68,2000,0.7054771238619522,0.24444444444444444,0.6470588235294118,0.3548387096774194,0.7883327243941055,0.4086765639484345,0.9045944464742419,1796,136,24,44
Machine failure,logistic_smote@0.50,68,2000,0.5,0.14772727272727273,0.7647058823529411,0.24761904761904763,0.8047131896236756,0.4064365779595248,0.9059950066983316,1632,300,16,52
Machine failure,logistic_smote@tuned_f2,68,2000,0.7178676950876155,0.25,0.6323529411764706,0.35833333333333334,0.7827913774205334,0.4064365779595248,0.9059950066983316,1803,129,25,43
Machine failure,dummy_most_frequent@tuned_f2,68,2000,0.0,0.034,1.0,0.06576402321083172,0.5,0.034,0.5,0,1932,0,68
Machine failure,dummy_most_frequent@0.50,68,2000,0.5,0.0,0.0,0.0,0.5,0.034,0.5,1932,0,68,0
OSF,logistic_smote@tuned_f2,19,2000,0.9353862283408348,0.8636363636363636,1.0,0.926829268292683,0.9992428066633013,0.9782503830878444,0.9997874545019793,1978,3,0,19
